  Layer  Stave Chip     X         Y           Z        r         phi
    01    11    06   -0.0003   -3.3526      5.3940   3.3526   -1.5709
    01    11    07    0.0038   -3.3519      8.4096   3.3520   -1.5697
    01    11    08    0.0073   -3.3517     11.4246   3.3517   -1.5686
    01    12    00    1.3341   -3.3446    -12.7623   3.6009   -1.1913
    01    12    01    1.3344   -3.3438     -9.7477   3.6002   -1.1911
    01    12    02    1.3346   -3.3431     -6.7330   3.5996   -1.1910
    01    12    03    1.3351   -3.3420     -3.7171   3.5988   -1.1907
    01    12    04    1.3349   -3.3407     -0.7025   3.5976   -1.1906
    01    12    05    1.3358   -3.3398      2.3131   3.5971   -1.1903
    01    12    06    1.3369   -3.3396      5.3277   3.5972   -1.1900
    01    12    07    1.3377   -3.3380      8.3415   3.5961   -1.1896
    01    12    08    1.3396   -3.3389     11.3574   3.5976   -1.1892
    01    13    00    2.5109   -2.8409    -12.7576   3.7915   -0.8470
    01    13    01    2.5133   -2.8418     -9.7431   3.7938   -0.8467
    01    13    02    2.5170   -2.8432     -6.7287   3.7973   -0.8462
    01    13    03    2.5202   -2.8430     -3.7135   3.7992   -0.8455
    01    13    04    2.5240   -2.8420     -0.6979   3.8010   -0.8446
    01    13    05    2.5266   -2.8402      2.3173   3.8013   -0.8438
    01    13    06    2.5291   -2.8377      5.3317   3.8012   -0.8429
    01    13    07    2.5307   -2.8346      8.3469   3.7999   -0.8420
    01    13    08    2.5317   -2.8323     11.3627   3.7989   -0.8414
    01    14    00    3.4084   -1.9058    -12.7793   3.9050   -0.5098
    01    14    01    3.4120   -1.9035     -9.7653   3.9070   -0.5089
    01    14    02    3.4144   -1.9012     -6.7503   3.9080   -0.5081
    01    14    03    3.4161   -1.8996     -3.7348   3.9087   -0.5075
    01    14    04    3.4178   -1.8995     -0.7190   3.9101   -0.5073
    01    14    05    3.4198   -1.8990      2.2966   3.9117   -0.5069
    01    14    06    3.4210   -1.8977      5.3117   3.9121   -0.5065
    01    14    07    3.4233   -1.8965      8.3272   3.9136   -0.5059
    01    14    08    3.4246   -1.8960     11.3433   3.9144   -0.5056
    01    15    00    3.8757   -0.7026    -12.7737   3.9389   -0.1793
    01    15    01    3.8767   -0.7005     -9.7591   3.9394   -0.1788
    01    15    02    3.8788   -0.6982     -6.7437   3.9411   -0.1781
    01    15    03    3.8813   -0.6970     -3.7285   3.9434   -0.1777
